               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.067128,             0.25876,             0.01469,              0.2436,             0.42955,             0.22498,            0.070247,            0.079709,             0.41882,            0.018907,           0.0057217,           0.0057217,            0.036722
                  70,            0.075427,                0.24,            0.015942,             0.22164,             0.52636,             0.24337,            0.071064,            0.082148,             0.28927,            0.019755,           0.0057872,           0.0057872,            0.035787
                  71,            0.070717,             0.24441,            0.015681,             0.21364,             0.60719,              0.2534,             0.10522,            0.076884,             0.33641,            0.028697,           0.0058524,           0.0058524,            0.034852
                  72,            0.069817,             0.26228,            0.014535,             0.21033,             0.53983,             0.19655,            0.060687,            0.082202,             0.47331,            0.019201,            0.005917,            0.005917,            0.033917
                  73,            0.076541,             0.27398,            0.016641,             0.21798,             0.60647,             0.25005,            0.087369,            0.083093,             0.25969,             0.02012,           0.0059811,           0.0059811,            0.032981
                  74,            0.076754,             0.31899,            0.014777,             0.21268,             0.60031,             0.26229,            0.075303,            0.077944,              0.3717,            0.022754,           0.0060447,           0.0060447,            0.032045
                  75,            0.077232,             0.29382,            0.015082,             0.30993,             0.65278,             0.35118,             0.14592,            0.071228,              0.3105,            0.020078,           0.0061078,           0.0061078,            0.031108
                  76,            0.061933,             0.27856,             0.01515,             0.29296,             0.50743,             0.28736,            0.098206,            0.078429,             0.41893,            0.016533,           0.0061704,           0.0061704,             0.03017
                  77,            0.071125,             0.26384,            0.014893,             0.34453,             0.45989,             0.35309,             0.10589,            0.078113,             0.25734,            0.015401,           0.0062326,           0.0062326,            0.029233
                  78,            0.069533,             0.24135,            0.013658,              0.3131,             0.41447,             0.32656,            0.086637,            0.076529,             0.32682,            0.016527,           0.0062942,           0.0062942,            0.028294
                  79,            0.071775,             0.27687,            0.014085,             0.28475,             0.41172,             0.27527,             0.08648,            0.081506,              0.3541,            0.019788,           0.0063554,           0.0063554,            0.027355
                  80,            0.078801,             0.28991,            0.014571,             0.33156,             0.43708,             0.32941,             0.12307,            0.072976,             0.35828,            0.017219,            0.006416,            0.006416,            0.026416
                  81,            0.068006,             0.27605,            0.013942,             0.30522,             0.38426,             0.30182,             0.11274,            0.075705,             0.31152,             0.01455,           0.0064762,           0.0064762,            0.025476
                  82,            0.070275,             0.30892,            0.013852,              0.3734,               0.501,             0.38888,              0.1445,            0.070323,             0.32438,            0.016751,           0.0065358,           0.0065358,            0.024536
